;;;;;;;;;;;Package.Mass.Value;;
ID;WEEK COM;MONTH;ORIGIN;ORIGIN CITY;DESTINATION  (DROP LIST);MODE;UNITS;CARTON;GOH UNITS;TOTAL UNITS;WEIGHT;CBM;TYPE
431;12/13/2021;December;Turkey;Istanbul;US;Sea;17437;943;0;17437;9430;67,896;FCL
432;12/13/2021;December;Turkey;Istanbul;US;Sea;17437;943;0;17437;9430;67,896;FCL
433;12/13/2021;December;Turkey;Istanbul;US;Sea;21240;994;0;21240;9940;71,568;FCL
434;12/13/2021;December;Turkey;Istanbul;US;Sea;18182;937;0;18182;9370;67,464;FCL
435;12/13/2021;December;Turkey;Istanbul;US;Sea;25818;1014;0;25818;10140;73,008;FCL
436;12/13/2021;December;Turkey;Istanbul;US;Sea;16689;1010;0;16689;10100;72,72;FCL
437;12/13/2021;December;Turkey;Istanbul;US;Sea;8711;516;0;8711;5160;37,152;FCL
438;12/13/2021;December;Turkey;Istanbul;US;Sea;10979;642;0;10979;6420;46,224;FCL
439;12/13/2021;December;Turkey;Istanbul;US;Sea;14857;921;0;14857;9210;66,312;FCL
440;12/20/2021;December;Turkey;Istanbul;UK;Road;28905;1408;0;28905;14080;101,376;FTL
441;12/20/2021;December;Turkey;Istanbul;UK;Road;29751;1229;0;29751;12290;88,488;FTL
442;12/20/2021;December;Turkey;Istanbul;UK;Road;78175;1301;0;78175;13010;93,672;FTL
443;12/20/2021;December;Turkey;Istanbul;UK;Road;26002;1438;0;26002;14380;103,536;FTL
444;12/20/2021;December;Turkey;Istanbul;UK;Road;27717;1377;0;27717;13770;99,144;FTL
445;12/20/2021;December;Turkey;Istanbul;DE;Road;18653;1313;0;18653;13130;94,536;FTL
446;12/20/2021;December;Turkey;Istanbul;DE;Road;42114;1304;0;42114;13040;93,888;FTL
447;12/20/2021;December;Turkey;Istanbul;UK;Road;29352;1286;0;29352;12860;92,592;FTL
448;12/20/2021;December;Turkey;Istanbul;UK;Road;21577;976;142;21719;9902;70,272;FTL
449;12/20/2021;December;Turkey;Istanbul;DE;Road;41287;1228;0;41287;12280;88,416;FTL
450;12/20/2021;December;Turkey;Istanbul;DE;Road;29816;1295;0;29816;12950;93,24;FTL
451;12/20/2021;December;Turkey;Istanbul;DE;Road;26866;1284;0;26866;12840;92,448;FTL
452;12/20/2021;December;Spain;Madrid;DE;Road;11116;812;0;11116;8120;58,464;FTL
453;12/20/2021;December;Spain;Barcelona;DE;Road;18351;756;0;18351;7560;54,432;FTL
454;12/20/2021;December;Spain;Barcelona;DE;Road;10257;596;0;10257;5960;42,912;FTL
455;12/20/2021;December;Spain;Barcelona;DE;Road;18012;815;18012;36024;26162;58,68;FTL
456;12/20/2021;December;Spain;Barcelona;DE;Road;6834;782;0;6834;7820;56,304;FTL
457;12/20/2021;December;Turkey;Istanbul;DE;Road;21304;1326;0;21304;13260;95,472;FTL
458;12/20/2021;December;Spain;Barcelona;CZ;Road;17176;604;0;17176;6040;43,488;FTL
459;12/27/2021;December;Turkey;Istanbul;UK;Road;22723;1035;0;22723;10350;74,52;FTL
460;12/27/2021;December;Turkey;Istanbul;DE;Road;20736;1158;0;20736;11580;83,376;FTL
461;12/27/2021;December;Turkey;Istanbul;DE;Road;47739;1173;815;48554;12545;84,456;FTL
462;12/27/2021;December;Turkey;Istanbul;UK;Road;44377;1337;0;44377;13370;96,264;FTL
463;12/27/2021;December;Turkey;Istanbul;DE;Road;13959;1277;0;13959;12770;91,944;FTL
464;12/27/2021;December;Turkey;Istanbul;DE;Road;39431;1301;0;39431;13010;93,672;FTL
465;12/27/2021;December;Turkey;Istanbul;DE;Road;24152;1159;0;24152;11590;83,448;FTL
466;12/27/2021;December;Turkey;Istanbul;DE;Road;25683;1244;660;26343;13100;89,568;FTL
467;12/27/2021;December;Turkey;Istanbul;DE;Road;25398;1337;0;25398;13370;96,264;FTL
468;12/27/2021;December;Turkey;Istanbul;DE;Road;24918;1232;0;24918;12320;88,704;FTL
469;12/27/2021;December;Turkey;Istanbul;UK;Road;12742;746;0;12742;7460;53,712;FTL
470;12/27/2021;December;Turkey;Istanbul;US;Sea;4253;196;0;4253;1960;17,441;FCL
471;12/27/2021;December;Turkey;Istanbul;US;Sea;14010;888;0;14010;8880;63,936;FCL
472;12/27/2021;December;Turkey;Istanbul;US;Sea;8554;453;0;8554;4530;32,616;FCL
473;12/27/2021;December;Turkey;Istanbul;US;Sea;17108;1038;0;17108;10380;74,736;FCL
474;12/27/2021;December;Turkey;Istanbul;US;Sea;17975;832;0;17975;8320;59,904;FCL
475;1/3/2022;January;Turkey;Istanbul;UK;Road;37709;1174;1402;39111;13142;84,528;FTL
476;1/3/2022;January;Turkey;Istanbul;UK;Road;28772;1164;1651;30423;13291;83,808;FTL
477;1/3/2022;January;Turkey;Istanbul;UK;Road;23552;1228;0;23552;12280;88,416;FTL
478;1/3/2022;January;Turkey;Istanbul;UK;Road;26032;1439;0;26032;14390;103,608;FTL
479;1/3/2022;January;Turkey;Istanbul;UK;Road;29411;1248;0;29411;12480;89,856;FTL
480;1/3/2022;January;Turkey;Istanbul;DE;Road;39250;1002;0;39250;10020;72,144;FTL
481;1/3/2022;January;Turkey;Istanbul;DE;Road;26645;1463;0;26645;14630;105,336;FTL
482;1/3/2022;January;Turkey;Istanbul;DE;Road;25858;1076;1650;27508;12410;77,472;FTL
483;1/3/2022;January;;;DE;Road;14700;823;0;14700;8230;59,256;FTL
484;1/3/2022;January;Turkey;Istanbul;US;Sea;18898;833;0;18898;8330;59,976;FCL
